employee_id,employee_name,gender,usia,rentang_usia,lama_bekerja_tahun,level_jabatan,department_name,kpi_category,avg_kpi_value,jumlah_evaluasi,jumlah_proyek,kpi_id,kpi_target,persen_tercapai,cluster,membership_c0,membership_c1,membership_c2,membership_c3,membership_c4,membership_c5,membership_c6
1,Hendra Pratama,M,38,30-40,9,Manager,Operations,Attendance,83.94999999999999,2,2,9,95.0,88.36842105263156,3,0.0955129629475731,0.05075706056987517,0.07065533677158452,0.302892921951433,0.3002908580280264,0.06696605511022462,0.11292480462128318
1,Hendra Pratama,M,38,30-40,9,Manager,Operations,Development,83.72,2,2,6,85.0,98.49411764705883,3,0.017621102266257873,0.014241484765893256,0.02707448217049412,0.7783802508409824,0.04942897126249821,0.03541786218674125,0.0778358465071328
1,Hendra Pratama,M,38,30-40,9,Manager,Operations,HR,66.93,1,1,7,90.0,74.36666666666667,0,0.7282701099693158,0.08730968553429391,0.03276775350254286,0.021145429003718203,0.08818899499051845,0.01688632216934651,0.025431704830264114
1,Hendra Pratama,M,38,30-40,9,Manager,Operations,Performance,88.25,1,1,8,80.0,100.0,5,0.016287957831693543,0.022239278426662904,0.07637606999684357,0.15858474210354181,0.03429350154923194,0.4996958910977155,0.1925225589943107
1,Hendra Pratama,M,38,30-40,9,Manager,Operations,Project,88.38499999999999,2,2,13,75.0,100.0,5,0.007999090031551522,0.011963393454100848,0.04525665437500667,0.053287129407610684,0.015866997616761563,0.7794856590806465,0.08614107603432225
1,Hendra Pratama,M,38,30-40,9,Manager,Operations,Quality,79.56333333333333,3,3,4,85.0,93.60392156862744,2,0.009029776074390565,0.022645404733061526,0.7974685402385127,0.01899093472069801,0.018306996190560684,0.051208183444143636,0.08235016459863295
1,Hendra Pratama,M,38,30-40,9,Manager,Operations,Time Management,81.64,1,1,1,85.0,96.04705882352941,2,0.02536624243628499,0.06891926045545735,0.43754429371003667,0.0482690878298848,0.03960702556219387,0.2536039429370386,0.12669014706910384
2,Nanda Nugroho,M,28,20-30,2,Staff,IT,Efficiency,81.18,1,1,2,80.0,100.0,3,0.025295375288276866,0.022817831166615534,0.04753118804642671,0.5819120792732051,0.07244517326497099,0.05972892229731825,0.19026943066318652
2,Nanda Nugroho,M,28,20-30,2,Staff,IT,HR,71.55,1,1,7,90.0,79.5,0,0.6218399426346,0.0842456875649017,0.0380594013693571,0.02408940948397421,0.18426740163042155,0.017683550332893757,0.029814606983851515
2,Nanda Nugroho,M,28,20-30,2,Staff,IT,Performance,72.7,1,1,8,80.0,90.875,2,0.0798373723844761,0.16271479992605145,0.2448861548947469,0.06722376421924521,0.19330498426901124,0.06455133510107422,0.1874815892053948
2,Nanda Nugroho,M,28,20-30,2,Staff,IT,Quality,74.308,5,4,4,85.0,87.42117647058825,2,0.05296632083001936,0.34423883019563634,0.3488880228184463,0.03625105438148347,0.08196652437360379,0.05061731063680183,0.08507193676400916
2,Nanda Nugroho,M,28,20-30,2,Staff,IT,Teamwork,73.855,2,2,11,85.0,86.88823529411765,1,0.04281123117158195,0.4682437779884787,0.29463822561258485,0.02852831543984164,0.05702744754142207,0.04461452071666907,0.06413648152942165
2,Nanda Nugroho,M,28,20-30,2,Staff,IT,Technical,74.69,1,1,15,88.0,84.875,1,0.043433505635498526,0.5451490021684097,0.23076677966641038,0.02779853027543452,0.05099537456390838,0.04644823025950787,0.0554085774308307
3,Laura Setiawan,M,22,20-30,4,Staff,Procurement,Efficiency,70.53,1,1,2,80.0,88.1625,4,0.13958299482844605,0.05063981906498159,0.04519003121492931,0.04958839825498337,0.6303624884320113,0.02528577244096773,0.05935049576368065
3,Laura Setiawan,M,22,20-30,4,Staff,Procurement,Finance,76.37,1,1,3,90.0,84.85555555555555,4,0.04688380944554848,0.01934562010754579,0.01909928019367907,0.019481175645800063,0.8645388422401725,0.010078185176877622,0.02057308719037652
3,Laura Setiawan,M,22,20-30,4,Staff,Procurement,HR,71.32,1,1,7,90.0,79.24444444444444,0,0.6542256633997019,0.07988277371087886,0.03531170211328038,0.02233391576273713,0.16415794522652502,0.016484603971165617,0.027603395815711154
3,Laura Setiawan,M,22,20-30,4,Staff,Procurement,Innovation,76.33000000000001,2,2,10,70.0,100.0,6,0.01834388682523526,0.024807443113240978,0.07160945557148089,0.0742672215764667,0.04669149759989906,0.05720761701797341,0.7070728782957038
3,Laura Setiawan,M,22,20-30,4,Staff,Procurement,Quality,70.75999999999999,3,3,4,85.0,83.2470588235294,1,0.025043523457969286,0.8805892680549612,0.036432882474938685,0.008377071361529563,0.024284529039515005,0.009933849003355266,0.015338876607731108
4,Dina Rahayu,M,37,30-40,8,Manager,Operations,Development,80.9,1,1,6,85.0,95.1764705882353,3,0.04503769409960045,0.03165879145924429,0.0546508893905657,0.5058206178496494,0.16584349160935713,0.055360987159971675,0.14162752843161128
4,Dina Rahayu,M,37,30-40,8,Manager,Operations,HR,78.695,2,2,7,90.0,87.43888888888888,4,0.07881096914450245,0.06444569407900255,0.09824172814306499,0.09125736116266155,0.5076510672930042,0.048807471069901576,0.11078570910786267
4,Dina Rahayu,M,37,30-40,8,Manager,Operations,Innovation,81.19,1,1,10,70.0,100.0,6,0.007907218383534673,0.01036827133444729,0.03553543525407798,0.07326882910089907,0.020126334501984353,0.052901727234017114,0.7998921841910394
4,Dina Rahayu,M,37,30-40,8,Manager,Operations,Project,71.71,1,1,13,75.0,95.61333333333332,2,0.052265728036183,0.12093535290945347,0.295964159417025,0.06745444496166532,0.10244205403968464,0.08529412702356272,0.2756441336124259
